id,car_name,brand,model,Price,location,Image_URL,year
1,Ford Fusion 2016,Ford,Fusion 2016,6500000,Angré,https://images.coinafrique.com/thumb_5634499_uploaded_image1_1763764506.jpg,2016
2,BMW 218i 2015,BMW,218i 2015,7800000,Cocody,https://images.coinafrique.com/thumb_5620995_uploaded_image1_1763070701.jpg,2015
3,Ford Explorer 2011,Ford,Explorer 2011,8200000,Yopougon,https://images.coinafrique.com/thumb_5643111_uploaded_image1_1764197970.jpg,2011
4,Audi S8 2023,Audi,S8 2023,32000000,Cocody,https://images.coinafrique.com/thumb_5639453_uploaded_image1_1764024608.jpg,2023
5,Mazda CX-9 2023,Mazda,CX-9 2023,28800000,Cocody,https://images.coinafrique.com/thumb_5639450_uploaded_image1_1764024391.jpg,2023
6,Toyota Rav4 2021,Toyota,Rav4 2021,22900000,Cocody,https://images.coinafrique.com/thumb_5639443_uploaded_image1_1764024083.jpg,2021
7,Hyundai Tucson 2021,Hyundai,Tucson 2021,15000000,Cocody,https://images.coinafrique.com/thumb_5635843_uploaded_image1_1763850731.jpg,2021
8,Toyota Fortuner 2023,Toyota,Fortuner 2023,32000000,Cocody,https://images.coinafrique.com/thumb_5639447_uploaded_image1_1764024256.jpg,2023
9,Mazda cx3 2021,Mazda,cx3 2021,9500000,Cocody,https://images.coinafrique.com/thumb_5617097_uploaded_image1_1762897216.jpg,2021
10,Hyundai tucson 2022,Hyundai,tucson 2022,18900000,Angré,https://images.coinafrique.com/thumb_5615177_uploaded_image1_1762810385.jpg,2022
11,Mercedes-Benz S 2018,Mercedes-Benz,S 2018,13000000,Angré,https://images.coinafrique.com/thumb_5634491_uploaded_image1_1763763918.jpg,2018
12,Suzuki Vitara 2023,Suzuki,Vitara 2023,10900000,Cocody,https://images.coinafrique.com/thumb_5639437_uploaded_image1_1764023939.jpg,2023
13,Kia Sportage 2021,Kia,Sportage 2021,14300000,Abidjan,https://images.coinafrique.com/thumb_5632701_uploaded_image1_1763676987.jpg,2021
14,Mercedes-Benz Fourgon  2018,Mercedes-Benz,Fourgon  2018,13000000,Cocody,https://images.coinafrique.com/thumb_5634490_uploaded_image1_1763763899.jpg,2018
15,Mitsubishi Mirage 2019,Mitsubishi,Mirage 2019,5900000,Cocody,https://images.coinafrique.com/thumb_5641220_uploaded_image1_1764110479.jpg,2019
16,Toyota rav4 2019,Toyota,rav4 2019,15900000,Cocody,https://images.coinafrique.com/thumb_5603862_uploaded_image1_1762203260.jpg,2019
17,Nissan Versa 2021,Nissan,Versa 2021,7950000,Abidjan,https://images.coinafrique.com/thumb_5620975_uploaded_image1_1763070073.jpg,2021
18,Jaguar f- pace 2020,Jaguar,f- pace 2020,28000000,Angré,https://images.coinafrique.com/thumb_5634482_uploaded_image1_1763763460.jpg,2020
19,Kia Sportage 2021,Kia,Sportage 2021,14950000,Abidjan,https://images.coinafrique.com/thumb_5632700_uploaded_image1_1763676870.jpg,2021
20,Toyota land cruiser 2017,Toyota,land cruiser 2017,20500000,Cocody,https://images.coinafrique.com/thumb_5609379_uploaded_image1_1762463136.jpg,2017
21,Mazda CX-5 2019,Mazda,CX-5 2019,12900000,Cocody,https://images.coinafrique.com/thumb_5625053_uploaded_image1_1763329819.jpg,2019
22,Mazda CX5 2021,Mazda,CX5 2021,14800000,Abidjan,https://images.coinafrique.com/thumb_5632698_uploaded_image1_1763676655.jpg,2021
23,BMW x3 2022,BMW,x3 2022,29500000,Cocody,https://images.coinafrique.com/thumb_5619242_uploaded_image1_1762983206.jpg,2022
24,Hyundai Santa fe 2025,Hyundai,Santa fe 2025,43000000,Cocody,https://images.coinafrique.com/thumb_5620961_uploaded_image1_1763069551.jpg,2025
25,Hyundai Kona 2019,Hyundai,Kona 2019,9600000,Cocody,https://images.coinafrique.com/thumb_5635833_uploaded_image1_1763849893.jpg,2019
26,Hyundai Santa Fe 2021,Hyundai,Santa Fe 2021,17300000,Cocody,https://images.coinafrique.com/thumb_5635835_uploaded_image1_1763850062.jpg,2021
27,Toyota camry 2022,Toyota,camry 2022,12500000,Cocody,https://images.coinafrique.com/thumb_5630761_uploaded_image1_1763589833.jpg,2022
28,Ford Fusion 2016,Ford,Fusion 2016,6500000,Cocody,https://images.coinafrique.com/thumb_5635821_uploaded_image1_1763849527.jpg,2016
29,Hyundai tucson 2024,Hyundai,tucson 2024,20800000,Cocody,https://images.coinafrique.com/thumb_5630746_uploaded_image1_1763589427.jpg,2024
30,BMW X7 2024,BMW,X7 2024,75000000,Cocody,https://images.coinafrique.com/thumb_5632691_uploaded_image1_1763676148.jpg,2024
31,KIA Forte 2017,KIA,Forte 2017,7400000,Cocody,https://images.coinafrique.com/thumb_5615160_uploaded_image1_1762809494.jpg,2017
32,Chevrolet trailblazer 2022,Chevrolet,trailblazer 2022,15500000,Cocody,https://images.coinafrique.com/thumb_5615158_uploaded_image1_1762809328.jpg,2022
33,Toyota Highlander 2023,Toyota,Highlander 2023,27000000,Grand-Bassam,https://images.coinafrique.com/thumb_5649180_uploaded_image1_1764543066.jpg,2023
34,Hyundai Santa Fe 2025,Hyundai,Santa Fe 2025,39000000,Cocody,https://images.coinafrique.com/thumb_5639411_uploaded_image1_1764022931.jpg,2025
35,Kia Seltos SX 2021,Kia,Seltos SX 2021,15500000,Angré,https://images.coinafrique.com/thumb_5634465_uploaded_image1_1763762492.jpg,2021
36,Honda cr-v 2022,Honda,cr-v 2022,22000000,Cocody,https://images.coinafrique.com/thumb_5615150_uploaded_image1_1762808810.jpg,2022
37,Kia Seltos 2025,Kia,Seltos 2025,17500000,Angré,https://images.coinafrique.com/thumb_5634470_uploaded_image1_1763762741.jpg,2025
38,Ford focus 2002,Ford,focus 2002,3600000,Cocody,https://images.coinafrique.com/thumb_5615149_uploaded_image1_1762808800.jpg,2002
39,Kia Sonet 2025,Kia,Sonet 2025,16900000,Cocody,https://images.coinafrique.com/thumb_5641210_uploaded_image1_1764109548.jpg,2025
40,Ford escape 2018,Ford,escape 2018,7950000,Cocody,https://images.coinafrique.com/thumb_5615154_uploaded_image1_1762808951.jpg,2018
41,Toyota Tundra 2025,Toyota,Tundra 2025,55000000,Cocody,https://images.coinafrique.com/thumb_5641207_uploaded_image1_1764109315.jpg,2025
42,Mercedes-Benz GLC 300 2023,Mercedes-Benz,GLC 300 2023,35000000,Cocody,https://images.coinafrique.com/thumb_5632689_uploaded_image1_1763676066.jpg,2023
43,Kia Seltos 2025,Kia,Seltos 2025,17800000,Cocody,https://images.coinafrique.com/thumb_5634468_uploaded_image1_1763762611.jpg,2025
44,Suzuki dzire 2024,Suzuki,dzire 2024,5900000,Angré,https://images.coinafrique.com/thumb_5615152_uploaded_image1_1762808835.jpg,2024
45,Jetour T2 2025,Jetour,T2 2025,35000000,Cocody,https://images.coinafrique.com/thumb_5625039_uploaded_image1_1763329239.jpg,2025
46,Ford Focus 2001,Ford,Focus 2001,2600000,Cocody,https://images.coinafrique.com/thumb_5635818_uploaded_image1_1763849421.jpg,2001
47,Hyundai Avante 2018,Hyundai,Avante 2018,8800000,Cocody,https://images.coinafrique.com/thumb_5632688_uploaded_image1_1763676038.jpg,2018
48,Hyundai Santa Fe 2017,Hyundai,Santa Fe 2017,9800000,Cocody,https://images.coinafrique.com/thumb_5635825_uploaded_image1_1763849609.jpg,2017
49,Acura RDX 2024,Acura,RDX 2024,22900000,Cocody,https://images.coinafrique.com/thumb_5625042_uploaded_image1_1763329301.jpg,2024
50,Hyundai Tucson 2021,Hyundai,Tucson 2021,17000000,Cocody,https://images.coinafrique.com/thumb_5635828_uploaded_image1_1763849774.jpg,2021
51,Hyundai elantra 2021,Hyundai,elantra 2021,10500000,Abidjan,https://images.coinafrique.com/thumb_5619219_uploaded_image1_1762982175.jpg,2021
52,Mercedes-benz glg 300 2021,Mercedes-benz,glg 300 2021,25800000,Abidjan,https://images.coinafrique.com/thumb_5613330_uploaded_image1_1762721834.jpg,2021
53,Hyundai palissade 2020,Hyundai,palissade 2020,24900000,Angré,https://images.coinafrique.com/thumb_5615147_uploaded_image1_1762808697.jpg,2020
