car_id,rec_id
0,27
0,595
0,276
0,856
0,640
0,836
0,428
0,604
0,418
0,654
1,668
1,652
1,181
1,152
1,679
1,326
1,737
1,325
1,844
1,640
2,66
2,93
2,91
2,945
2,206
2,829
2,721
2,518
2,229
2,250
3,7
3,634
3,385
3,552
3,472
3,408
3,130
3,797
3,127
3,113
4,506
4,554
4,67
4,370
4,127
4,113
4,32
4,951
4,936
4,408
5,563
5,447
5,133
5,824
5,502
5,153
5,470
5,448
5,48
5,480
6,819
6,581
6,835
6,937
6,671
6,49
6,521
6,786
6,802
6,791
7,408
7,3
7,552
7,385
7,472
7,634
7,130
7,797
7,127
7,113
8,904
8,586
8,235
8,795
8,219
8,191
8,633
8,620
8,768
8,609
9,100
9,108
9,399
9,115
9,879
9,212
9,852
9,938
9,962
9,59
10,13
10,290
10,218
10,961
10,184
10,141
10,824
10,502
10,489
10,57
11,648
11,512
11,847
11,540
11,813
11,356
11,180
11,308
11,536
11,591
12,411
12,594
12,362
12,590
12,405
12,18
12,689
12,728
12,517
12,765
13,10
13,290
13,218
13,961
13,184
13,141
13,824
13,502
13,489
13,57
14,215
14,279
14,771
14,704
14,897
14,396
14,170
14,109
14,43
14,91
15,906
15,188
15,335
15,168
15,131
15,361
15,864
15,934
15,821
15,300
16,631
16,72
16,830
16,730
16,39
16,481
16,341
16,241
16,625
16,609
17,641
17,89
17,410
17,774
17,412
17,95
17,432
17,429
17,67
17,56
18,411
18,594
18,362
18,590
18,405
18,18
18,689
18,728
18,517
18,765
19,885
19,619
19,400
19,473
19,382
19,687
19,402
19,851
19,686
19,736
20,177
20,811
20,455
20,124
20,558
20,329
20,218
20,702
20,266
20,221
21,956
21,231
21,675
21,862
21,145
21,467
21,398
21,248
21,174
21,458
22,854
22,874
22,113
22,127
22,543
22,90
22,445
22,839
22,845
22,96
23,605
23,393
23,478
23,299
23,828
23,780
23,71
23,877
23,600
23,33
24,213
24,249
24,222
24,494
24,225
24,269
24,658
24,622
24,285
24,630
25,258
25,786
25,812
25,674
25,345
25,521
25,205
25,946
25,49
25,671
26,905
26,847
26,702
26,916
26,716
26,598
26,800
26,558
26,566
26,57
27,27
27,595
27,276
27,856
27,640
27,836
27,428
27,604
27,418
27,654
28,65
28,74
28,578
28,313
28,769
28,482
28,447
28,284
28,211
28,953
29,137
29,669
29,62
29,960
29,579
29,610
29,126
29,121
29,139
29,545
30,699
30,259
30,261
30,428
30,856
30,836
30,604
30,276
30,449
30,457
31,409
31,34
31,689
31,659
31,446
31,681
31,244
31,359
31,955
31,526
32,113
32,815
32,60
32,951
32,936
32,764
32,717
32,459
32,486
32,947
33,605
33,393
33,478
33,299
33,828
33,780
33,71
33,877
33,600
33,33
34,689
34,659
34,681
34,359
34,244
34,955
34,446
34,526
34,409
34,504
35,647
35,151
35,915
35,389
35,869
35,744
35,923
35,88
35,228
35,384
36,42
36,740
36,626
36,553
36,617
36,786
36,439
36,500
36,794
36,756
37,727
37,861
37,497
37,238
37,267
37,701
37,423
37,301
37,642
37,45
38,747
38,217
38,233
38,136
38,616
38,671
38,402
38,942
38,688
38,943
39,279
39,481
39,830
39,730
39,72
39,631
39,16
39,421
39,326
39,870
40,935
40,913
40,226
40,415
40,742
40,138
40,474
40,600
40,877
40,478
41,353
41,464
41,371
41,461
41,123
41,143
41,745
41,711
41,321
41,352
42,42
42,740
42,626
42,553
42,617
42,786
42,439
42,500
42,794
42,756
43,109
43,14
43,215
43,771
43,279
43,897
43,704
43,170
43,396
43,93
44,621
44,307
44,785
44,352
44,123
44,461
44,41
44,464
44,143
44,711
45,423
45,808
45,760
45,751
45,892
45,497
45,238
45,895
45,267
45,900
46,719
46,720
46,758
46,713
46,171
46,214
46,750
46,561
46,875
46,912
47,358
47,903
47,330
47,275
47,81
47,513
47,277
47,664
47,101
47,781
48,448
48,470
48,5
48,153
48,480
48,924
48,755
48,151
48,726
48,381
49,819
49,581
49,835
49,937
49,671
49,49
49,521
49,786
49,802
49,791
50,271
50,820
50,599
50,570
50,251
50,291
50,61
50,475
50,282
50,148
51,628
51,724
51,454
51,486
51,507
51,534
51,378
51,499
51,427
51,133
52,70
52,54
52,351
52,288
52,790
52,559
52,185
52,60
52,806
52,807
53,31
53,409
53,34
53,359
53,681
53,244
53,689
53,659
53,446
53,955
54,288
54,351
54,52
54,70
54,133
54,51
54,378
54,154
54,867
54,843
55,257
55,111
55,722
55,949
55,868
55,823
55,503
55,873
55,881
55,704
56,707
56,67
56,17
56,429
56,432
56,60
56,939
56,52
56,70
56,431
57,364
57,492
57,824
57,489
57,502
57,246
57,178
57,184
57,141
57,218
58,861
58,551
58,649
58,836
58,276
58,856
58,428
58,604
58,259
58,30
59,647
59,151
59,915
59,389
59,869
59,744
59,923
59,88
59,228
59,384
60,815
60,32
60,429
60,432
60,17
60,67
60,56
60,52
60,70
60,790
61,291
61,570
61,599
61,820
61,271
61,50
61,475
61,282
61,251
61,148
62,29
62,137
62,669
62,126
62,121
62,960
62,579
62,610
62,139
62,545
63,406
63,935
63,545
63,139
63,468
63,450
63,123
63,461
63,608
63,579
64,867
64,436
64,430
64,201
64,790
64,305
64,334
64,333
64,357
64,573
65,65
65,74
65,578
65,313
65,769
65,482
65,447
65,284
65,211
65,953
66,250
66,844
66,925
66,395
66,846
66,650
66,449
66,457
66,73
66,253
67,370
67,554
67,506
67,4
67,56
67,17
67,429
67,432
67,60
67,939
68,65
68,74
68,578
68,313
68,769
68,482
68,447
68,284
68,211
68,953
69,690
69,896
69,649
69,87
69,425
69,759
69,662
69,842
69,556
69,495
70,52
70,54
70,351
70,288
70,790
70,559
70,185
70,60
70,806
70,807
71,23
71,605
71,780
71,299
71,478
71,828
71,763
71,444
71,75
71,853
72,631
72,72
72,830
72,730
72,39
72,481
72,341
72,241
72,625
72,609
73,927
73,832
73,253
73,457
73,395
73,572
73,449
73,442
73,925
73,846
74,100
74,108
74,399
74,115
74,879
74,212
74,852
74,938
74,962
74,59
75,853
75,33
75,204
75,247
75,195
75,444
75,348
75,367
75,763
75,917
76,917
76,94
76,471
76,71
76,763
76,444
76,853
76,75
76,195
76,247
77,132
77,899
77,714
77,637
77,445
77,90
77,22
77,96
77,845
77,839
78,947
78,624
78,507
78,534
78,883
78,919
78,546
78,333
78,611
78,105
79,354
79,913
79,353
79,733
79,41
79,914
79,464
79,130
79,797
79,3
80,390
80,805
80,770
80,670
80,574
80,349
80,496
80,451
80,594
80,362
81,277
81,903
81,216
81,275
81,330
81,513
81,101
81,781
