id,name,price,image_url
1,lecteur de cartes otg 3-en-1 usb,1400,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/752713/1.jpg?9903
2,sans fil bluetooth clavier applicable téléphone,3598,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/029662/1.jpg?9725
3,10’‘sans fil bluetooth clavier applicable téléphone,3271,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/339003/1.jpg?2228
4,clignotant led mignon chat oreilles casque,5600,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/124152/1.jpg?7214
5,câble de charge rapide de type,4275,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/770813/1.jpg?3819
6,richripple micro-cravate sans fil enregistrement audio-vidéo,2815,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/425103/1.jpg?2522
7,stylet universel à la fois pour,7307,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/515562/1.jpg?3425
8,"adaptateur usb c vers usb 3.0,",2650,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/643472/1.jpg?2479
9,lecteur de carte 4-en-1 otg usb,3990,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/963313/1.jpg?2154
10,vic clavier et souris bluetooth sans,8450,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/107762/1.jpg?3401
11,opula lingettes de nettoyage d'écran et,6000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/489103/1.jpg?6206
12,ensemble mini clavier sans fil +,8120,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/968713/1.jpg?9841
13,"lecteur de carte usb 2.0, appareil",4750,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/717813/1.jpg?8649
14,puissant microphone filaire professionnel à bobine,12064,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/254813/1.jpg?0633
15,puissant microphone filaire professionnel à bobine,12825,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/733213/1.jpg?7533
16,câble de charge rapide de type,8359,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/835603/1.jpg?0609
17,câble de disque dur mobile mécanique,2065,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/906692/1.jpg?5259
18,"clavier sans fil bluetooth, compatible avec",3052,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/607182/1.jpg?0324
19,"ventilateur de refroidissement pour téléphone portable,",7000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/233813/1.jpg?1044
20,casque de jeu supra-auriculaire avec rétroéclairage,8330,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/137003/1.jpg?5986
21,partagez ce produit puissant microphone filaire,13205,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/535713/1.jpg?7324
22,"orico clé usb 3.0 32 go,",8425,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/420913/1.jpg?5363
23,"enceintes pc, alimentées par usb, filaires,",6650,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/672813/1.jpg?4064
24,support de plaquettes pcb de téléphone,7500,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/225513/1.jpg?2143
25,lampe de secours rechargeable extra lumineux,13205,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/945713/1.jpg?7367
26,carte mémoire pour téléphone portable de,3297,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/542002/1.jpg?1485
27,pince à sertir câble réseau lan,5000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/602192/1.jpg?4456
28,tf1 carte mémoire pour téléphone portable,3200,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/838241/1.jpg?7571
29,carte mémoire pour téléphone portable de,2699,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/682002/1.jpg?6544
30,amplificateur vidéo d'écran de téléphone 3d,8965,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/492441/1.jpg?4734
31,carte mémoire pour téléphone portable de,3299,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/678721/1.jpg?0850
32,logitech casque logitech g435 lightspeed sans,63000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/123872/1.jpg?5091
33,"loupe d'écran, amplificateur, agrandisseur d’écran +",9400,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/288991/1.jpg?9254
34,carte mémoire pour téléphone portable de,3059,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/115002/1.jpg?9408
35,câble de charge rapide de type,7000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/987992/1.jpg?3730
36,câble de conversion otg pour téléphone,3000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/117713/1.jpg?5064
37,câble de charge rapide de type,7000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/287992/1.jpg?5705
38,amplificateur vidéo d'écran de téléphone 3d,16500,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/501441/1.jpg?3397
39,mode contrôleur sans fil bluetooth bsp,35250,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/610913/1.jpg?4401
40,adaptateur de lecteur de carte sd/tf3.0,12500,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/880813/1.jpg?8971
41,lecteur de cartes otg 3-en-1 usb,1400,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/752713/1.jpg?9903
42,sans fil bluetooth clavier applicable téléphone,3598,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/029662/1.jpg?9725
43,10’‘sans fil bluetooth clavier applicable téléphone,3271,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/339003/1.jpg?2228
44,clignotant led mignon chat oreilles casque,5600,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/124152/1.jpg?7214
45,câble de charge rapide de type,4275,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/770813/1.jpg?3819
46,richripple micro-cravate sans fil enregistrement audio-vidéo,2815,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/425103/1.jpg?2522
47,stylet universel à la fois pour,7307,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/515562/1.jpg?3425
48,"adaptateur usb c vers usb 3.0,",2650,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/643472/1.jpg?2479
49,lecteur de carte 4-en-1 otg usb,3990,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/963313/1.jpg?2154
50,vic clavier et souris bluetooth sans,8450,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/107762/1.jpg?3401
51,opula lingettes de nettoyage d'écran et,6000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/489103/1.jpg?6206
52,ensemble mini clavier sans fil +,8120,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/968713/1.jpg?9841
53,"lecteur de carte usb 2.0, appareil",4750,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/717813/1.jpg?8649
54,puissant microphone filaire professionnel à bobine,12064,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/254813/1.jpg?0633
55,puissant microphone filaire professionnel à bobine,12825,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/733213/1.jpg?7533
56,câble de charge rapide de type,8359,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/835603/1.jpg?0609
57,câble de disque dur mobile mécanique,2065,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/906692/1.jpg?5259
58,"clavier sans fil bluetooth, compatible avec",3052,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/607182/1.jpg?0324
59,"ventilateur de refroidissement pour téléphone portable,",7000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/233813/1.jpg?1044
60,casque de jeu supra-auriculaire avec rétroéclairage,8330,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/137003/1.jpg?5986
61,partagez ce produit puissant microphone filaire,13205,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/535713/1.jpg?7324
62,"orico clé usb 3.0 32 go,",8425,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/420913/1.jpg?5363
63,"enceintes pc, alimentées par usb, filaires,",6650,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/672813/1.jpg?4064
64,support de plaquettes pcb de téléphone,7500,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/225513/1.jpg?2143
65,lampe de secours rechargeable extra lumineux,13205,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/945713/1.jpg?7367
66,carte mémoire pour téléphone portable de,3297,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/542002/1.jpg?1485
67,pince à sertir câble réseau lan,5000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/602192/1.jpg?4456
68,tf1 carte mémoire pour téléphone portable,3200,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/838241/1.jpg?7571
69,carte mémoire pour téléphone portable de,2699,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/682002/1.jpg?6544
70,amplificateur vidéo d'écran de téléphone 3d,8965,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/492441/1.jpg?4734
71,carte mémoire pour téléphone portable de,3299,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/678721/1.jpg?0850
72,logitech casque logitech g435 lightspeed sans,63000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/123872/1.jpg?5091
73,"loupe d'écran, amplificateur, agrandisseur d’écran +",9400,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/288991/1.jpg?9254
74,carte mémoire pour téléphone portable de,3059,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/115002/1.jpg?9408
75,câble de charge rapide de type,7000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/987992/1.jpg?3730
76,câble de conversion otg pour téléphone,3000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/117713/1.jpg?5064
77,câble de charge rapide de type,7000,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/287992/1.jpg?5705
78,amplificateur vidéo d'écran de téléphone 3d,16500,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/501441/1.jpg?3397
79,mode contrôleur sans fil bluetooth bsp,35250,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/610913/1.jpg?4401
80,adaptateur de lecteur de carte sd/tf3.0,12500,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/880813/1.jpg?8971
81,lecteur de cartes otg 3-en-1 usb,1400,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/752713/1.jpg?9903
82,sans fil bluetooth clavier applicable téléphone,3598,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/029662/1.jpg?9725
83,10’‘sans fil bluetooth clavier applicable téléphone,3271,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/339003/1.jpg?2228
84,clignotant led mignon chat oreilles casque,5600,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/124152/1.jpg?7214
85,câble de charge rapide de type,4275,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/770813/1.jpg?3819
86,richripple micro-cravate sans fil enregistrement audio-vidéo,2815,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/425103/1.jpg?2522
87,stylet universel à la fois pour,7307,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/515562/1.jpg?3425
88,"adaptateur usb c vers usb 3.0,",2650,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/643472/1.jpg?2479
89,lecteur de carte 4-en-1 otg usb,3990,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/963313/1.jpg?2154
90,vic clavier et souris bluetooth sans,8450,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/107762/1.jpg?3401
